original address,latitude,longitude
"311 NORTH MORROW STREET, MENA, AR",34.5887977,-94.2225111
"4301 WEST MARKHAM STREET MAIL SLOT 612, LITTLE ROCK, AR",34.7464809,-92.2895948
"620 NORTH MAIN STREET, HARRISON, AR",36.2357947,-93.1071667
"EAST MAIN AND SOUTH 20TH STREET, VAN BUREN, AR",35.4365325,-94.3381171
"1601 NEWCASTLE ROAD, FORREST CITY, AR",35.0522805,-90.7653965
"225 E JACKSON, JONESBORO, AR",35.8374612,-90.7038576
"609 WEST MAPLE AVENUE, SPRINGDALE, AR",36.1808233,-94.1364357
"300 WERNER STREET, HOT SPRINGS, AR",34.467838,-93.066666
"624 HOSPITAL DRIVE, MOUNTAIN HOME, AR",36.3429502,-92.3944185
"2302 COLLEGE AVENUE, CONWAY, AR",35.0848712,-92.4584585
"3333 SPRINGHILL DRIVE, NORTH LITTLE RO, AR",35.20105,-91.8318334
"900 WEST KINGSHIGHWAY, PARAGOULD, AR",36.0525618,-90.4978107
"1808 WEST MAIN STREET, RUSSELLVILLE, AR",35.2827475,-93.1490105
"200 TYLER, WEST MEMPHIS, AR",35.1441161,-90.1876822
"2801 MEDICAL CENTER DRIVE, POCAHONTAS, AR",36.289821,-90.997503
"638 CALIFORNIA AVENUE, CAMDEN, AR",33.5758644,-92.8362602
"778 SCOGIN DRIVE, MONTICELLO, AR",33.6073862,-91.8150064
"1001 TOWSON AVENUE, FORT SMITH, AR",35.3744521,-94.4186803
"7301 ROGERS AVE, FORT SMITH, AR",35.3558329,-94.3527919
"101 HOSPITAL DRIVE, MAGNOLIA, AR",33.2750944,-93.2400629
"1520 N DIVISION STREET, BLYTHEVILLE, AR",35.9432044,-89.9171282
"1600 WEST 40TH AVENUE, PINE BLUFF, AR",34.1889427,-92.0188605
"1703 NORTH BUERKLE ROAD, STUTTGART, AR",34.517642,-91.559316
"1400 BRADEN STREET, JACKSONVILLE, AR",34.873582,-92.124839
"1001 SCHNEIDER DRIVE, MALVERN, AR",34.3596218,-92.7857369
"1910 MALVERN AVENUE, HOT SPRINGS, AR",34.486004,-93.035211
"1205 MCLAIN STREET, NEWPORT, AR",35.608362,-91.26499
"#1 MEDICAL PARK DRIVE, BENTON, AR",34.572905,-92.585083
"1801 MARTIN LUTHER KING DRIVE, HELENA, AR",34.5102191,-90.6271793
"700 WEST GROVE STREET, EL DORADO, AR",33.2183922,-92.6722845
"2001 SOUTH MAIN STREET, HOPE, AR",33.6490496,-93.5870362
"9601 INTERSTATE 630, EXIT 7, LITTLE ROCK, AR",34.7464809,-92.2895948
"3024 STADIUM BOULEVARD, JONESBORO, AR",35.808379,-90.666578
"1710 HARRISON STREET, BATESVILLE, AR",35.7692716,-91.6340814
"1701 S SHACKLEFORD ROAD, LITTLE ROCK, AR",34.73868,-92.393067
"2215 WILDWOOD AVENUE, SHERWOOD, AR",34.8129009,-92.208139
"5201 NORTH SHORE DRIVE, NO LITTLE ROCK, AR",34.8003023,-92.3490932
"3873 NORTH PARKVIEW DRIVE, FAYETTEVILLE, AR",36.121327,-94.134071
"27200 CALAROGA AVE, HAYWARD, CA",37.633621,-122.088021
"2700 DOLBEER ST, EUREKA, CA",40.783656,-124.142463
"1501 TROUSDALE DRIVE, BURLINGAME, CA",37.592832,-122.382493
"45 CASTRO STREET, SAN FRANCISCO, CA",37.7686205,-122.4352514
"1000 TRANCAS ST, NAPA, CA",38.324717,-122.296709
"10 WOODLAND ROAD, SAINT HELENA, CA",38.543845,-122.474009
"200 MISSION BLVD, JACKSON, CA",38.3510732,-120.7648261
"345 S HALCYON RD, ARROYO GRANDE, CA",35.11346,-120.590536
"4001 J ST, SACRAMENTO, CA",38.570525,-121.452159
"531 W COLLEGE ST, LOS ANGELES, CA",34.065047,-118.239134
"4445 MAGNOLIA AVENUE, RIVERSIDE, CA",33.976508,-117.381469
"2400 EAST FOURTH STREET, NATIONAL CITY, CA",32.683947,-117.081633
"200 WEST ARBOR DRIVE, SAN DIEGO, CA",32.754257,-117.1659225
"5555 GROSSMONT CENTER DRIVE BOX 58, LA MESA, CA",32.7678287,-117.0230839
"3800 JANES RD, ARCATA, CA",40.896312,-124.091448
"2767 OLIVE HIGHWAY, OROVILLE, CA",39.5052824,-121.540997
"420 34TH ST BOX 1888, BAKERSFIELD, CA",35.3732921,-119.0187125
"751 SOUTH BASCOM AVENUE, SAN JOSE, CA",37.3128768,-121.9332889
"1531 ESPLANADE, CHICO, CA",39.742206,-121.850005
"14445 OLIVE VIEW DRIVE, SYLMAR, CA",34.3269874,-118.4517063
"2550 SISTER MARY COLUMBA DRIVE, RED BLUFF, CA",40.148125,-122.219336
"350 HAWTHORNE AVENUE, OAKLAND, CA",37.822057,-122.262747
"1415 ROSS AVENUE, EL CENTRO, CA",32.780444,-115.568504
"1306 MARICOPA HWY, OJAI, CA",34.442881,-119.264476
"2333 BUCHANAN STREET, SAN FRANCISCO, CA",37.790998,-122.431254
"600 NORTH HIGHLAND SPRINGS AVENUE, BANNING, CA",33.931838,-116.945682
"3555 CESAR CHAVEZ STREET, SAN FRANCISCO, CA",37.747165,-122.420882
"1600 W AVE J, LANCASTER, CA",34.6748614,-118.1577068
"400 W MINERAL KING AVE, VISALIA, CA",36.3273689,-119.2954812
"1420 S CENTRAL AVE, GLENDALE, CA",34.1283359,-118.2577734
"2823 FRESNO STREET, FRESNO, CA",36.7447607,-119.7837192
"1300 N VERMONT AVE, LOS ANGELES, CA",34.09631,-118.290705
"350 S OAK AVE, OAKDALE, CA",37.757078,-120.86109
"1100 WEST STEWART DR, ORANGE, CA",33.7803608,-117.8649476
"1200 EL CAMINO REAL, SOUTH SAN FRANC, CA",37.6591467,-122.4393155
"700 LAWRENCE EXPRESSWAY, SANTA CLARA, CA",37.3356933,-121.9959452
"1425 S MAIN ST, WALNUT CREEK, CA",37.8914234,-122.0599563
"975 SERENO DR, VALLEJO, CA",38.128519,-122.2470408
"280 W MAC ARTHUR BLVD, OAKLAND, CA",37.8244845,-122.2575852
"2425 GEARY BLVD, SAN FRANCISCO, CA",37.7824779,-122.4428981
"4077 5TH AVE, SAN DIEGO, CA",32.751389,-117.157683
"1300 W 7TH ST, SAN PEDRO, CA",33.7379817,-118.3052487
"2000 VALE RD, SAN PABLO, CA",37.9533749,-122.3367216
"1600 N ROSE AVE, OXNARD, CA",34.216744,-119.156314
"1800 N CALIFORNIA ST, STOCKTON, CA",37.9698676,-121.2887284
"1805 MEDICAL CENTER DRIVE, SAN BERNARDINO, CA",34.1310107,-117.3218055
"347 ANDRIEUX ST, SONOMA, CA",38.2881979,-122.4653322
"2623 E SLAUSON AVE, HUNTINGTON PARK, CA",33.9893178,-118.2242602
"1303 E HERNDON AVE, FRESNO, CA",36.835324,-119.765624
"725 S ORANGE AVE, WEST COVINA, CA",34.0707434,-117.9447788
"999 SAN BERNARDINO RD, UPLAND, CA",34.1013022,-117.6365145
"7901 FROST ST, SAN DIEGO, CA",32.7994934,-117.1539445
"300 HOSPITAL DR, VALLEJO, CA",38.131184,-122.237323
"3865 JACKSON STREET, RIVERSIDE, CA",33.927976,-117.438472
"1720 E CESAR AVENUE, LOS ANGELES, CA",34.049321,-118.217463
"3630 EAST IMPERIAL HIGHWAY, LYNWOOD, CA",33.929844,-118.203108
"1400 E CHURCH ST, SANTA MARIA, CA",34.950988,-120.413221
"2801 L STREET, SACRAMENTO, CA",38.5715526,-121.4687431
"1515 E OCEAN AVENUE, LOMPOC, CA",34.6407486,-120.4395827
"235 N HOOVER ST, LOS ANGELES, CA",34.075583,-118.28424
"1250 16TH STREET, SANTA MONICA, CA",34.0268545,-118.4865119
"555 E VALLEY PARKWAY, ESCONDIDO, CA",33.12535,-117.073359
"18300 ROSCOE BLVD, NORTHRIDGE, CA",34.2201448,-118.5341002
"1205 E NORTH ST, MANTECA, CA",37.801324,-121.196902
"115 MALL DRIVE, HANFORD, CA",36.3236205,-119.6672586
"525 WEST ACACIA STREET, STOCKTON, CA",37.9614261,-121.3001314
"1812 VERDUGO BLVD, GLENDALE, CA",34.20453,-118.216124
"225 N JACKSON AVENUE, SAN JOSE, CA",37.362568,-121.849745
"15107 VANOWEN ST, VAN NUYS, CA",34.194945,-118.46319
"1325 COTTONWOOD STREET, WOODLAND, CA",38.664038,-121.79212
"4002 VISTA WAY, OCEANSIDE, CA",33.1840221,-117.2966056
"2101 N WATERMAN AVE, SAN BERNARDINO, CA",34.1349469,-117.276027
"180 ROWLAND WAY, NOVATO, CA",38.0990618,-122.560113
"438 W LAS TUNAS DRIVE, SAN GABRIEL, CA",34.100806,-118.105878
"726 4TH ST, MARYSVILLE, CA",39.138222,-121.594363
"6245 DE LONGPRE AVE, HOLLYWOOD, CA",34.0963806,-118.3251816
"400 N MCDOWELL BLVD, PETALUMA, CA",38.254554,-122.631771
"13652 CANTARA ST, PANORAMA CITY, CA",34.2214344,-118.4301834
"4867 SUNSET BLVD, LOS ANGELES, CA",34.0981604,-118.2954051
"9333 IMPERIAL HIGHWAY, DOWNEY, CA",33.9190901,-118.1287302
"9961 SIERRA AVE, FONTANA, CA",34.072245,-117.431968
"23625 W R HOLMAN HIGHWAY, MONTEREY, CA",36.5788637,-121.9131591
"1401 SOUTH GRAND AVENUE, LOS ANGELES, CA",34.037049,-118.265752
"155 GLASSON WAY, GRASS VALLEY, CA",39.228089,-121.047205
"900 HYDE ST, SAN FRANCISCO, CA",37.7896963,-122.4170345
"2105 FOREST AVENUE, SAN JOSE, CA",37.327103,-121.938629
"16237 VENTURA BLVD, ENCINO, CA",34.158036,-118.487551
"3291 LOMA VISTA RD, VENTURA, CA",34.2802869,-119.2540972
"500 W HOSPITAL ROAD, FRENCH CAMP, CA",37.88664,-121.283083
"101 E VALENCIA MESA DRIVE, FULLERTON, CA",33.8946479,-117.927163
"12401 E WASHINGTON BLVD, WHITTIER, CA",33.9684024,-118.0483747
"1165 MONTGOMERY DR, SANTA ROSA, CA",38.4436899,-122.701379
"825 DELBON AVE, TURLOCK, CA",37.511639,-120.837996
"1601 YGNACIO VALLEY RD, WALNUT CREEK, CA",37.9134104,-122.041626
"300 CANAL STREET, KING CITY, CA",36.2059806,-121.1325886
"1050 LINDEN AVE, LONG BEACH, CA",33.779913,-118.186023
"372 W CYPRESS AVE, REEDLEY, CA",36.6078163,-119.4513347
"75 NIELSON STREET, WATSONVILLE, CA",36.9282593,-121.7934217
"2000 MOWRY AVE, FREMONT, CA",37.557174,-121.981258
"170 ALAMEDA DE LAS PULGAS, REDWOOD CITY, CA",37.480004,-122.254405
"38600 MEDICAL CENTER DRIVE, PALMDALE, CA",34.583051,-118.144895
"150 WEST ROUTE 66, GLENDORA, CA",34.1286508,-117.8650099
"2070 CLINTON AVE, ALAMEDA, CA",37.762878,-122.254121
"13100 STUDEBAKER RD, NORWALK, CA",33.912552,-118.098457
"751 MEDICAL CENTER COURT, CHULA VISTA, CA",32.619723,-117.022784
"ONE HOAG DRIVE, NEWPORT BEACH, CA",33.6222856,-117.9299539
"5974 PENTZ ROAD, PARADISE, CA",39.75712,-121.5701689
"1111 W LA PALMA AVENUE, ANAHEIM, CA",33.847799,-117.936612
"1001 POTRERO AVENUE, SAN FRANCISCO, CA",37.7567052,-122.4043925
"12601 GARDEN GROVE BLVD, GARDEN GROVE, CA",33.774834,-117.913285
"1798 N GAREY AVE, POMONA, CA",34.077092,-117.750628
"1911 JOHNSON AVE, SAN LUIS OBISPO, CA",35.2788199,-120.6504741
"250 PROSPECT PLACE, CORONADO, CA",32.6943025,-117.167932
"501 SOUTH BUENA VISTA, BURBANK, CA",34.156007,-118.328344
"2975 N SYCAMORE DR, SIMI VALLEY, CA",34.2891959,-118.744837
"300 W HUNTINGTON DR, ARCADIA, CA",34.134022,-118.042151
"1509 E WILSON TERRACE, GLENDALE, CA",34.1497599,-118.2319848
"1555 SOQUEL DRIVE, SANTA CRUZ, CA",36.990168,-121.983574
"1150 NORTH INDIAN CANYON DRIVE, PALM SPRINGS, CA",33.8386203,-116.5455748
"400 NORTH PEPPER AVENUE, COLTON, CA",34.074013,-117.3514125
"1441 CONSTITUTION BOULEVARD, SALINAS, CA",36.6976103,-121.6331981
"1100 MARSHALL WAY, PLACERVILLE, CA",38.7256227,-120.790957
"901 OLIVE DRIVE, BAKERSFIELD, CA",35.411716,-119.039719
"465 W PUTNAM AVE, PORTERVILLE, CA",36.0695633,-119.027485
"757 WESTWOOD PLAZA, LOS ANGELES, CA",34.0667509,-118.4461265
"13855 E 14TH STREET, SAN LEANDRO, CA",37.7129034,-122.143213
"350 TERRACINA BLVD, REDLANDS, CA",34.0372067,-117.2047366
"2500 ALHAMBRA AVE, MARTINEZ, CA",38.006546,-122.13312
"2776 PACIFIC AVE, LONG BEACH, CA",33.807327,-118.193049
"15031 RINALDI ST, MISSION HILLS, CA",34.280154,-118.460335
"6601 WHITE FEATHER ROAD, JOSHUA TREE, CA",34.13075,-116.275024
"2175 ROSALINE AVE, CLAIRMONT HGTS, REDDING, CA",40.5865396,-122.3916754
"100 S RAYMOND AVE, ALHAMBRA, CA",34.090485,-118.144098
"5555 WEST LAS POSITAS BOULEVARD, PLEASANTON, CA",37.695019,-121.880951
"1900 SULLIVAN AVENUE, DALY CITY, CA",37.679696,-122.474335
"2121 SANTA MONICA BLVD, SANTA MONICA, CA",34.0300915,-118.4783338
"3325 CHANATE RD, SANTA ROSA, CA",38.469643,-122.707456
"26520 CACTUS AVENUE, MORENO VALLEY, CA",33.9117124,-117.1958843
"2215 TRUXTUN AVENUE, BAKERSFIELD, CA",35.3731773,-119.0271665
"911 SUNSET DRIVE, HOLLISTER, CA",36.8349075,-121.3865079
"555 SOUTH SEVENTH AVENUE, BARSTOW, CA",34.8934075,-117.0193044
"18300 HIGHWAY 18, APPLE VALLEY, CA",34.5403818,-117.2647063
"275 HOSPITAL DRIVE, UKIAH, CA",39.153498,-123.20435
"2450 ASHBY AVE, BERKELEY, CA",37.855928,-122.257304
"2500 GRANT ROAD, MOUNTAIN VIEW, CA",37.3693389,-122.080472
"ONE MEDICAL PLAZA, ROSEVILLE, CA",38.76514,-121.24979
"1420 N TRACY BLVD, TRACY, CA",37.7440858,-121.4346853
"1700 MOUNT VERNON AVENUE, BAKERSFIELD, CA",35.383182,-118.969971
"1411 E 31ST ST, OAKLAND, CA",37.7995621,-122.2329473
"9888 GENESEE AVENUE, LA JOLLA, CA",32.8846134,-117.2224392
"11234 ANDERSON ST, LOMA LINDA, CA",34.0507571,-117.2639465
"800 SOUTH MAIN STREET, CORONA, CA",33.872358,-117.568088
